rank,name,year,rate
1.,The Shawshank Redemption,(1994),"9.2 based on 2,639,286 user ratings"
2.,The Godfather,(1972),"9.2 based on 1,829,437 user ratings"
3.,The Dark Knight,(2008),"9.0 based on 2,610,889 user ratings"
4.,The Godfather Part II,(1974),"9.0 based on 1,254,314 user ratings"
5.,12 Angry Men,(1957),"8.9 based on 779,232 user ratings"
6.,Schindler's List,(1993),"8.9 based on 1,338,276 user ratings"
7.,The Lord of the Rings: The Return of the King,(2003),"8.9 based on 1,814,847 user ratings"
8.,Pulp Fiction,(1994),"8.8 based on 2,019,874 user ratings"
9.,The Lord of the Rings: The Fellowship of the Ring,(2001),"8.8 based on 1,838,788 user ratings"
10.,"Il buono, il brutto, il cattivo",(1966),"8.8 based on 753,840 user ratings"
11.,Forrest Gump,(1994),"8.8 based on 2,043,174 user ratings"
12.,Fight Club,(1999),"8.7 based on 2,083,088 user ratings"
13.,Inception,(2010),"8.7 based on 2,314,362 user ratings"
14.,The Lord of the Rings: The Two Towers,(2002),"8.7 based on 1,638,949 user ratings"
15.,The Empire Strikes Back,(1980),"8.7 based on 1,275,860 user ratings"
16.,The Matrix,(1999),"8.7 based on 1,888,436 user ratings"
17.,Goodfellas,(1990),"8.7 based on 1,143,441 user ratings"
18.,One Flew Over the Cuckoo's Nest,(1975),"8.6 based on 997,305 user ratings"
19.,Se7en,(1995),"8.6 based on 1,623,255 user ratings"
20.,Shichinin no samurai,(1954),"8.6 based on 343,531 user ratings"
21.,It's a Wonderful Life,(1946),"8.6 based on 451,262 user ratings"
22.,The Silence of the Lambs,(1991),"8.6 based on 1,410,590 user ratings"
23.,Cidade de Deus,(2002),"8.6 based on 750,256 user ratings"
24.,Saving Private Ryan,(1998),"8.6 based on 1,372,039 user ratings"
25.,La vita è bella,(1997),"8.6 based on 686,944 user ratings"
26.,The Green Mile,(1999),"8.6 based on 1,281,666 user ratings"
27.,Interstellar,(2014),"8.6 based on 1,782,045 user ratings"
28.,Star Wars,(1977),"8.6 based on 1,348,568 user ratings"
29.,Terminator 2: Judgment Day,(1991),"8.5 based on 1,085,726 user ratings"
30.,Back to the Future,(1985),"8.5 based on 1,185,021 user ratings"
31.,Sen to Chihiro no kamikakushi,(2001),"8.5 based on 749,845 user ratings"
32.,Psycho,(1960),"8.5 based on 664,036 user ratings"
33.,The Pianist,(2002),"8.5 based on 820,136 user ratings"
34.,Léon,(1994),"8.5 based on 1,145,976 user ratings"
35.,Gisaengchung,(2019),"8.5 based on 775,106 user ratings"
36.,The Lion King,(1994),"8.5 based on 1,043,851 user ratings"
37.,Gladiator,(2000),"8.5 based on 1,479,535 user ratings"
38.,American History X,(1998),"8.5 based on 1,111,077 user ratings"
39.,The Departed,(2006),"8.5 based on 1,308,626 user ratings"
40.,The Usual Suspects,(1995),"8.5 based on 1,074,342 user ratings"
41.,The Prestige,(2006),"8.5 based on 1,315,642 user ratings"
42.,Casablanca,(1942),"8.5 based on 566,888 user ratings"
43.,Whiplash,(2014),"8.5 based on 837,495 user ratings"
44.,The Intouchables,(2011),"8.5 based on 846,181 user ratings"
45.,Hotaru no haka,(1988),"8.5 based on 273,463 user ratings"
46.,Seppuku,(1962),"8.5 based on 56,126 user ratings"
47.,Modern Times,(1936),"8.4 based on 240,827 user ratings"
48.,Once Upon a Time in the West,(1968),"8.4 based on 327,310 user ratings"
49.,Rear Window,(1954),"8.4 based on 487,422 user ratings"
50.,Alien,(1979),"8.4 based on 870,499 user ratings"
51.,City Lights,(1931),"8.4 based on 183,856 user ratings"
52.,Nuovo Cinema Paradiso,(1988),"8.4 based on 258,834 user ratings"
53.,Apocalypse Now,(1979),"8.4 based on 661,075 user ratings"
54.,Memento,(2000),"8.4 based on 1,224,711 user ratings"
55.,Raiders of the Lost Ark,(1981),"8.4 based on 956,630 user ratings"
56.,Django Unchained,(2012),"8.4 based on 1,527,222 user ratings"
57.,WALL·E,(2008),"8.4 based on 1,102,793 user ratings"
58.,The Lives of Others,(2006),"8.4 based on 387,406 user ratings"
59.,Sunset Blvd.,(1950),"8.4 based on 220,737 user ratings"
60.,Paths of Glory,(1957),"8.4 based on 196,297 user ratings"
61.,The Shining,(1980),"8.4 based on 1,004,887 user ratings"
62.,The Great Dictator,(1940),"8.4 based on 222,853 user ratings"
63.,Avengers: Infinity War,(2018),"8.4 based on 1,054,264 user ratings"
64.,Witness for the Prosecution,(1957),"8.4 based on 124,610 user ratings"
65.,Top Gun: Maverick,(2022),"8.3 based on 356,842 user ratings"
66.,Aliens,(1986),"8.3 based on 710,573 user ratings"
67.,American Beauty,(1999),"8.3 based on 1,144,369 user ratings"
68.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),"8.3 based on 487,234 user ratings"
69.,Spider-Man: Into the Spider-Verse,(2018),"8.3 based on 513,364 user ratings"
70.,The Dark Knight Rises,(2012),"8.3 based on 1,682,446 user ratings"
71.,Oldeuboi,(2003),"8.3 based on 572,048 user ratings"
72.,Joker,(2019),"8.3 based on 1,240,053 user ratings"
73.,Amadeus,(1984),"8.3 based on 398,535 user ratings"
74.,Braveheart,(1995),"8.3 based on 1,029,069 user ratings"
75.,Toy Story,(1995),"8.3 based on 982,383 user ratings"
76.,Coco,(2017),"8.3 based on 494,474 user ratings"
77.,Inglourious Basterds,(2009),"8.3 based on 1,424,473 user ratings"
78.,Das Boot,(1981),"8.3 based on 249,998 user ratings"
79.,Mononoke-hime,(1997),"8.3 based on 390,120 user ratings"
